"country","subject","resp","cat","condition","site"
"Ireland",5314,0,-0.5,"body",6
"Ireland",5314,2,0.5,"mind",6
"Ireland",5319,0,-0.5,"body",6
"Ireland",5319,3,0.5,"mind",6
"Ireland",5321,1,-0.5,"body",6
"Ireland",5321,2,0.5,"mind",6
"Ireland",5327,0,-0.5,"body",6
"Ireland",5327,0,0.5,"mind",6
"Ireland",5331,1,-0.5,"body",6
"Ireland",5331,2,0.5,"mind",6
"Ireland",5332,0,-0.5,"body",6
"Ireland",5332,1,0.5,"mind",6
"Ireland",5333,0,-0.5,"body",6
"Ireland",5333,2,0.5,"mind",6
"Ireland",5335,1,-0.5,"body",6
"Ireland",5335,3,0.5,"mind",6
"Ireland",5344,0,-0.5,"body",6
"Ireland",5344,0,0.5,"mind",6
"Ireland",5347,1,-0.5,"body",6
"Ireland",5347,3,0.5,"mind",6
"Ireland",5349,1,-0.5,"body",6
"Ireland",5349,3,0.5,"mind",6
"Ireland",5353,0,-0.5,"body",6
"Ireland",5353,0,0.5,"mind",6
"Ireland",5360,0,-0.5,"body",6
"Ireland",5360,0,0.5,"mind",6
"Ireland",5367,0,-0.5,"body",6
"Ireland",5367,0,0.5,"mind",6
"Ireland",5370,0,-0.5,"body",6
"Ireland",5370,0,0.5,"mind",6
"Ireland",5380,0,-0.5,"body",6
"Ireland",5380,2,0.5,"mind",6
"Ireland",5394,0,-0.5,"body",6
"Ireland",5394,0,0.5,"mind",6
"Ireland",5406,0,-0.5,"body",6
"Ireland",5406,0,0.5,"mind",6
"Ireland",5411,2,-0.5,"body",6
"Ireland",5411,3,0.5,"mind",6
"Ireland",5418,0,-0.5,"body",6
"Ireland",5418,3,0.5,"mind",6
"Ireland",5423,1,-0.5,"body",6
"Ireland",5423,2,0.5,"mind",6
"Ireland",5428,2,-0.5,"body",6
"Ireland",5428,2,0.5,"mind",6
"Ireland",5431,0,-0.5,"body",6
